video_id,channel_id,category_id
0i85S_74i3o,UCEmrzEYds6XN_7dd_5_XnrA,24
0io2mrBT9C4,UCgnFSj7jQffD5V5m05j4dPw,24
0j7ckfP3Xyk,UCckltLEhFLv8Xz_lQhYfwmg,25
0jamqK5qhmk,UCaRBojHlDl24Tzh6Vt6dihQ,20
0jEvZi5oLPs,UCd3VsafChPVXeIufCAzCprA,27
0JJbUdIhsac,UCs_mHlm5_C82W5WCIJaSMbQ,22
0JsNMLMaPuE,UCVmkgq5EQR_Dls3LG-wkrjw,28
0JUYlhHdIzQ,UCdY0SS4tZPdWdQ6m5bX-ZBg,24
0jwX4f-pamA,UCnirzf0fEAPfQV__61iwSQQ,20
0JzZD_jDNfA,UCKS1HX4moHCcDBZnM9k4giw,1
0KmniYXn_TM,UCckltLEhFLv8Xz_lQhYfwmg,25
0ks-cJ_TtDU,UCNyujDJFZqQml78mdpb2rNA,24
0KS0cOb1Rs8,UCFPySgAumPBFo0VFf8hjCjw,2
0l79_1BI5U8,UCWqN5l7FwMO6-gT8Dg9mx5A,22
0LhzgJA7zBE,UCEUSUxrhCt4n0Pp9WB7q7-w,24
0lrwg7LELlk,UCRnC_XIuIVFKWphUcLd4MVA,27
0mBFnKMtfy0,UCwKYO2L9xzLtWhSv4ncYCIA,22
0mD5YhHwI44,UCn0XmAUFv6d2tofMFEesSNw,24
0meZoSUe5O4,UCgnFSj7jQffD5V5m05j4dPw,22
0MlkXcnU98w,UCDO8zlJiV9ZgaMMK2DyX1Dw,17
0NaMfGPeJYo,UCaRBojHlDl24Tzh6Vt6dihQ,20
0NGfz_6HO-k,UCKA7SQOUkD1_z5lr016Q70w,22
0NIauaSJf68,UCEUSUxrhCt4n0Pp9WB7q7-w,24
0NlzZZ2oqMU,UCckltLEhFLv8Xz_lQhYfwmg,25
0NMoiTEFIWE,UCckltLEhFLv8Xz_lQhYfwmg,25
0NpCcNtHigM,UCt7aYc76HmITvYbbQlHyFnw,27
0nW86Fplcu4,UCCK3OZi788Ok44K97WAhLKQ,25
0o-YG9-0zTY,UCk6Bzr5M-8n_KN2guSmWmMw,24
0o0PwUsrMNU,UCr8qGT-Mv9tdCo-aPr06REQ,1
0o93K76B29o,UCCK3OZi788Ok44K97WAhLKQ,25
0o9HnmnS3-E,UCckltLEhFLv8Xz_lQhYfwmg,25
0OfqQx34XP0,UCckltLEhFLv8Xz_lQhYfwmg,25
0OIepSTzy54,UCCK3OZi788Ok44K97WAhLKQ,25
0pan3xpUDkw,UCdTL_n9uC2_DlLX7ohcKpVQ,24
0PC18YGpV2Y,UC1Q3UfVjchyhbtyJXc_mu5w,24
0PD3XUOpmhk,UCc8W1zUTmtNqXIhOHxPIAuw,27
0pTZycII_2g,UC4UaWbUUwVvCxWNqhb4f16Q,22
0pU8wh1zlLE,UCOLdaAcrdzYY3ug15EuuFAg,26
0Q9sjTqxbSk,UCkysZsPin4y9iQHS-QYygeQ,20
0qhcRhAZUWc,UCCK3OZi788Ok44K97WAhLKQ,25
0qT5fV2NIhI,UCETxOvOv9_44-CUzsPlzyxQ,28
0qwTaVvAHsQ,UCcpCelkp30ukU3ZKUXsU25g,19
0r1eVaQdNpo,UCr8qGT-Mv9tdCo-aPr06REQ,1
0raYTRHcosY,UCckltLEhFLv8Xz_lQhYfwmg,25
0rTAgrKESVQ,UCd3VsafChPVXeIufCAzCprA,27
0scUaIFS6Jw,UCCK3OZi788Ok44K97WAhLKQ,25
0SeBX6XMMjE,UC9ZdXR-RYydFqdIb1lqM4LQ,19
0SjfxgDKRAY,UC8irIP66QzlZNVgqe4vwN9g,10
0sTvw80EMNM,UCltN1illHSguno1gokRShxA,26
0SvaUcqaq2A,UCKS1HX4moHCcDBZnM9k4giw,1
0tOEPHCLlI4,UCEmrzEYds6XN_7dd_5_XnrA,24
0ujSJbqNv1Q,UCCK3OZi788Ok44K97WAhLKQ,25
0UpATRPA3yI,UCnY7v189bwoSTFFYD_PNWhQ,27
0UqHM-T1IXk,UCrjQG1gLZ4cDwIzrGA5pRBw,22
